Opportunity ID,Account ID,StageName,IsClosed,IsWon,CreatedDate,Term in Months,Service,Opportunity Type,Product Group,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status,Latitude,Longtitude,Industry,MRR,CPQ
Opp-000010,Acct-000427,Successful,TRUE,TRUE,7/1/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Government,0,81895.1287
Opp-000011,Acct-000427,Potential,FALSE,FALSE,7/1/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Government,0,81895.1287
Opp-000012,Acct-000034,Potential,FALSE,FALSE,7/2/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,1099879.883,13855751.13
Opp-000012,Acct-000034,Potential,FALSE,FALSE,7/2/16,36,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,"On Zayo Network
",39.5873873,-104.876543,Telecommunications,1099879.883,13855751.13
Opp-000012,Acct-000034,Potential,FALSE,FALSE,7/2/16,36,,New Service,Wavelengths - Long Haul,Bldg-140646,Denver,106 Inverness Circle E,Englewood,CO,80112,704.51,"Not on Zayo Network
",39.5770328,-104.8631422,Telecommunications,1099879.883,13855751.13
Opp-000013,Acct-000469,Failed,TRUE,FALSE,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Media & Content,134402.9826,153858.123
Opp-000013,Acct-000469,Failed,TRUE,FALSE,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,"On Zayo Network
",33.0093307,-96.6764626,Media & Content,134402.9826,153858.123
Opp-000014,Acct-000469,Successful,TRUE,TRUE,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,"On Zayo Network
",32.787255,-96.794118,Media & Content,134402.9826,153858.123
Opp-000014,Acct-000469,Successful,TRUE,TRUE,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,"On Zayo Network
",33.0093307,-96.6764626,Media & Content,134402.9826,153858.123
Opp-000015,Acct-000427,Potential,FALSE,FALSE,7/1/16,60,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Government,0,81895.1287
Opp-000016,Acct-000435,Failed,TRUE,FALSE,7/2/16,36,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Telecommunications,348506.1623,762746.3882
Opp-000017,Acct-000938,Failed,TRUE,FALSE,7/2/16,36,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,"On Zayo Network
",33.005724,-96.736843,Other Industry,5780.87546,216330.4735
Opp-000017,Acct-000938,Failed,TRUE,FALSE,7/2/16,36,,New Service,Wavelengths - Metro,Bldg-118244,Dallas,8 Campus Cir,Roanoke,TX,76262,479.98,"On Zayo Network
",32.98064,-97.17446,Other Industry,5780.87546,216330.4735
Opp-000018,Acct-000938,Successful,TRUE,TRUE,7/2/16,60,,New Service,Wavelengths - Long Haul,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,"On Zayo Network
",32.9263025,-96.9852418,Other Industry,5780.87546,216330.4735
Opp-000019,Acct-000938,Successful,TRUE,TRUE,7/2/16,60,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,"On Zayo Network
",33.005724,-96.736843,Other Industry,5780.87546,216330.4735
Opp-000019,Acct-000938,Successful,TRUE,TRUE,7/2/16,60,,New Service,Wavelengths - Metro,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,"On Zayo Network
",32.9263025,-96.9852418,Other Industry,5780.87546,216330.4735
Opp-000020,Acct-000056,Failed,TRUE,FALSE,7/5/16,12,,New Service,Wavelengths - Metro,Bldg-117680,Dallas,3000 Telecom Pkwy,Richardson,TX,75082,4830.93,"On Zayo Network
",32.99042,-96.651985,Finance,360959.773,160859.7173
Opp-000020,Acct-000056,Failed,TRUE,FALSE,7/5/16,12,,New Service,Wavelengths - Metro,Bldg-117872,Dallas,4500 Amon Carter Blvd,Fort Worth,TX,76155,85.33,"On Zayo Network
",32.83001,-97.04868,Finance,360959.773,160859.7173
Opp-000021,Acct-000019,Potential,FALSE,FALSE,7/5/16,36,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,"On Zayo Network
",39.5643596,-104.8665482,Telecommunications,19979.85064,46872510.76
Opp-000022,Acct-000019,Potential,FALSE,FALSE,7/5/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,19979.85064,46872510.76
Opp-000022,Acct-000019,Potential,FALSE,FALSE,7/5/16,36,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,"On Zayo Network
",39.5643596,-104.8665482,Telecommunications,19979.85064,46872510.76
Opp-000023,Acct-001119,Potential,FALSE,FALSE,7/5/16,36,,New Service,Ethernet,Bldg-111386,Denver,3431 N Windsor Dr,Aurora,CO,80011,779.17,"On Zayo Network
",39.762776,-104.762111,Other Industry,13330.14692,0
Opp-000024,Acct-000019,Potential,FALSE,FALSE,7/5/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,19979.85064,46872510.76
Opp-000025,Acct-001120,Successful,TRUE,TRUE,7/6/16,36,,New Service,IP Services,Bldg-464044,Dallas,1430 E Southlake Blvd,Southlake,TX,76092,,"Build in Progress
",32.94136,-97.130087,Other Industry,7135.19204,0
Opp-000026,Acct-000944,Failed,TRUE,FALSE,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,0,125369.3741
Opp-000026,Acct-000944,Failed,TRUE,FALSE,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-032157,Dallas,1500 E Plano Pkwy,Plano,TX,75074,251.92,"Not on Zayo Network
",33.0064731,-96.6917456,Telecommunications,0,125369.3741
Opp-000026,Acct-000944,Failed,TRUE,FALSE,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,"On Zayo Network
",32.992076,-96.930441,Telecommunications,0,125369.3741
Opp-000026,Acct-000944,Failed,TRUE,FALSE,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,"On Zayo Network
",32.8970767,-96.9829687,Telecommunications,0,125369.3741
Opp-000027,Acct-000116,Potential,FALSE,FALSE,7/6/16,,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,"On Zayo Network
",39.5873873,-104.876543,Telecommunications,177241.6104,519124.0786
Opp-000028,Acct-000036,Failed,TRUE,FALSE,7/6/16,,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Telecommunications,4253955.16,75390.15132
Opp-000029,Acct-000141,Potential,FALSE,FALSE,7/6/16,,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,IT Infrastructure,85775.69762,56208.81722
Opp-000029,Acct-000141,Potential,FALSE,FALSE,7/6/16,,,New Service,IP Services,Bldg-054666,Atlanta,1201 W Peachtree St NE,Atlanta,GA,30309,159.56,"On Zayo Network
",33.78769,-84.382969,IT Infrastructure,85775.69762,56208.81722
Opp-000029,Acct-000141,Potential,FALSE,FALSE,7/6/16,,,New Service,IP Services,Bldg-120365,Dallas,6900 Dallas Pkwy,Plano,TX,75024,114.78,"On Zayo Network
",33.07242,-96.82369,IT Infrastructure,85775.69762,56208.81722
Opp-000030,Acct-000038,Potential,FALSE,FALSE,7/6/16,5,,New Service,Dark Fiber - Metro,Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,"On Zayo Network
",39.5913091,-104.8470746,Media & Content,1167625.834,418529.1948
Opp-000031,Acct-000448,Successful,TRUE,TRUE,7/6/16,93,,New Service,Dark Fiber - Metro,Bldg-109234,Denver,555 17th St,Denver,CO,80202,97.89,"On Zayo Network
",39.745216,-104.989305,Telecommunications,19167.32892,164286.3948
Opp-000032,Acct-001020,Failed,TRUE,FALSE,7/6/16,12,,New Service,Wavelengths - Long Haul,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,"On Zayo Network
",33.744265,-84.581427,Healthcare,0,70015.5736
Opp-000033,Acct-000409,Failed,TRUE,FALSE,7/6/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Professional Services,2032.67808,246944.4232
Opp-000034,Acct-000382,Potential,FALSE,FALSE,7/6/16,12,,New Service,IP Services,Bldg-014141,Denver,4300 Brighton Blvd,Denver,CO,80216,247,"On Zayo Network
",39.777368,-104.968254,Media & Content,3566.02862,89303.8136
Opp-000035,Acct-000604,Successful,TRUE,TRUE,7/6/16,12,,New Service,Ethernet,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,"On Zayo Network
",33.7775391,-84.4214611,Finance,12428.80894,250032.4225
Opp-000035,Acct-000604,Successful,TRUE,TRUE,7/6/16,12,,New Service,Ethernet,Bldg-019879,Atlanta,2836 Peterson Pl NW,Norcross,GA,30071,2357.82,"Not on Zayo Network
",33.9381625,-84.2267439,Finance,12428.80894,250032.4225
Opp-000036,Acct-000035,Potential,FALSE,FALSE,7/6/16,36,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,"On Zayo Network
",39.74556,-104.995682,Telecommunications,1567.4,3088880.067
Opp-000037,Acct-000949,Successful,TRUE,TRUE,7/6/16,36,,New Service,IP Services,Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,"On Zayo Network
",33.064858,-96.810993,IT Infrastructure,204364.6653,55467.45546
Opp-000038,Acct-000579,Successful,TRUE,TRUE,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,"On Zayo Network
",39.7451918,-104.9792774,Telecommunications,1713511.488,473926.7166
Opp-000042,Acct-000324,Failed,TRUE,FALSE,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-014640,Dallas,3180 Irving Blvd,Dallas,TX,75247,297.58,"On Zayo Network
",32.807183,-96.868566,Telecommunications,25298.26934,34547.78256
Opp-000043,Acct-000324,Failed,TRUE,FALSE,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,25298.26934,34547.78256
Opp-000044,Acct-001020,Potential,FALSE,FALSE,7/7/16,12,,New Service,IP Services,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,"On Zayo Network
",33.744265,-84.581427,Healthcare,0,70015.5736
Opp-000045,Acct-000002,Failed,TRUE,FALSE,7/7/16,12,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,2881700.185,7310037.815
Opp-000046,Acct-000002,Failed,TRUE,FALSE,7/7/16,12,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,2881700.185,7310037.815
Opp-000046,Acct-000002,Failed,TRUE,FALSE,7/7/16,12,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,"On Zayo Network
",32.787255,-96.794118,Telecommunications,2881700.185,7310037.815
Opp-000047,Acct-001121,Successful,TRUE,TRUE,7/7/16,12,,New Service,IP Services,Bldg-070477,Atlanta,3414 Peachtree Rd NE,Atlanta,GA,30326,181.78,"On Zayo Network
",33.849889,-84.363949,Professional Services,976.09374,0
Opp-000048,Acct-000948,Failed,TRUE,FALSE,7/7/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Energy,0,490093.7468
Opp-000049,Acct-000545,Potential,FALSE,FALSE,7/7/16,36,,New Service,Ethernet,Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,"On Zayo Network
",32.778334,-96.79855,Telecommunications,928.454,188742.998
Opp-000050,Acct-000341,Failed,TRUE,FALSE,7/7/16,36,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,"On Zayo Network
",32.787255,-96.794118,Telecommunications,177906.1696,102799.2106
Opp-000051,Acct-000579,Successful,TRUE,TRUE,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,"On Zayo Network
",39.7451918,-104.9792774,Telecommunications,1713511.488,473926.7166
Opp-000052,Acct-000341,Successful,TRUE,TRUE,7/7/16,36,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,"On Zayo Network
",32.787255,-96.794118,Telecommunications,177906.1696,102799.2106
Opp-000053,Acct-000036,Potential,FALSE,FALSE,7/7/16,,,New Service,Wavelengths - Long Haul,Bldg-117188,Dallas,6000 Connection Dr,Irving,TX,75039,759.21,"Not on Zayo Network
",32.89366,-96.965954,Telecommunications,4253955.16,75390.15132
Opp-000054,Acct-000948,Potential,FALSE,FALSE,7/7/16,,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Energy,0,490093.7468
Opp-000055,Acct-000293,Potential,FALSE,FALSE,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Media & Content,40775.61596,318243.9648
Opp-000055,Acct-000293,Potential,FALSE,FALSE,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Media & Content,40775.61596,318243.9648
Opp-000055,Acct-000293,Potential,FALSE,FALSE,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-038059,Atlanta,1003 Donnelly Ave SW,Atlanta,GA,30310,57.36,"On Zayo Network
",33.729225,-84.420197,Media & Content,40775.61596,318243.9648
Opp-000056,Acct-000246,Successful,TRUE,TRUE,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-118824,Dallas,801 Industrial Blvd,Grapevine,TX,76051,193.13,"On Zayo Network
",32.9301381,-97.1042919,IT Infrastructure,32370.51644,137942.5867
Opp-000057,Acct-000948,Potential,FALSE,FALSE,7/7/16,,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Energy,0,490093.7468
Opp-000058,Acct-000025,Successful,TRUE,TRUE,7/8/16,1,,New Service,Dark Fiber - Metro,Bldg-143092,Atlanta,Gresham Rd & Cobb Pkwy SE,Marietta,GA,30060,36.11,"On Zayo Network
",33.953309,-84.521827,Telecommunications,3872363.461,4431460.204
Opp-000059,Acct-000025,Successful,TRUE,TRUE,7/8/16,1,,New Service,Dark Fiber - Metro,Bldg-435582,Atlanta,Chastain Rd NW & George Busbee Pkwy NW,Kennesaw,GA,30144,54.26,"On Zayo Network
",34.034958,-84.572221,Telecommunications,3872363.461,4431460.204
Opp-000060,Acct-000273,Potential,FALSE,FALSE,7/7/16,120,,New Service,FTT - Small Cell,Bldg-296612,Dallas,800 W Randol Mill Rd,Arlington,TX,76012,222.36,"On Zayo Network
",32.749437,-97.1162988,Telecommunications,6307069.324,85736.30978
Opp-000061,Acct-000948,Failed,TRUE,FALSE,7/8/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Energy,0,490093.7468
Opp-000062,Acct-000958,Failed,TRUE,FALSE,7/8/16,36,,New Service,IP Services,Bldg-109254,Denver,2000 S Colorado Blvd/Annex Bldg,Denver,CO,80222,339.24,"On Zayo Network
",39.680732,-104.937182,Professional Services,0,47041.99818
Opp-000063,Acct-000948,Failed,TRUE,FALSE,7/8/16,36,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Energy,0,490093.7468
Opp-000064,Acct-000545,Potential,FALSE,FALSE,7/8/16,36,,New Service,Ethernet,Bldg-480727,Dallas,501 Duncan Perry Rd,Arlington,TX,76011,1060.29,"Not on Zayo Network
",32.7474538,-97.0409166,Telecommunications,928.454,188742.998
Opp-000065,Acct-000333,Failed,TRUE,FALSE,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Finance,418964.342,19523.36844
Opp-000065,Acct-000333,Failed,TRUE,FALSE,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Finance,418964.342,19523.36844
Opp-000066,Acct-000286,Failed,TRUE,FALSE,7/8/16,,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,22499.14188,721948.4968
Opp-000067,Acct-000286,Failed,TRUE,FALSE,7/8/16,,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,22499.14188,721948.4968
Opp-000068,Acct-000408,Successful,TRUE,TRUE,7/8/16,36,,New Service,IP Services,Bldg-118217,Dallas,1100 Empire Central Pl,Dallas,TX,75247,351.63,"On Zayo Network
",32.8217917,-96.8736451,Professional Services,6344.56782,244838.0128
Opp-000069,Acct-001122,Potential,FALSE,FALSE,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,"On Zayo Network
",33.755431,-84.391561,Media & Content,52786.81422,0
Opp-000070,Acct-000038,Successful,TRUE,TRUE,7/8/16,240,,New Service,Dark Fiber - Metro,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,"On Zayo Network
",34.0354213,-84.0608807,Media & Content,1167625.834,418529.1948
Opp-000070,Acct-000038,Successful,TRUE,TRUE,7/8/16,240,,New Service,Dark Fiber - Metro,Bldg-403622,Atlanta,980 Walther Blvd,Lawrenceville,GA,30043,18091.79,"On Zayo Network
",33.974537,-84.014576,Media & Content,1167625.834,418529.1948
Opp-000071,Acct-001123,Failed,TRUE,FALSE,7/8/16,12,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,IT Infrastructure,3563.33638,0
Opp-000072,Acct-000178,Failed,TRUE,FALSE,7/8/16,36,,New Service,IP Services,Bldg-266860,Denver,7600 Landmark Way,Greenwood Village,CO,80111,133.52,"Not on Zayo Network
",39.6172796,-104.8997303,Telecommunications,0,2946220.214
Opp-000073,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000074,Acct-000167,Successful,TRUE,TRUE,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,"On Zayo Network
",39.74556,-104.995682,Telecommunications,1981935.358,56847.39442
Opp-000075,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000076,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000077,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000078,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000079,Acct-000957,Failed,TRUE,FALSE,7/8/16,36,,New Service,IP Services,Bldg-109818,Dallas,222 W Las Colinas Blvd,Irving,TX,75039,315.99,"On Zayo Network
",32.871478,-96.943924,Finance,0,15853.8822
Opp-000080,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000081,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000082,Acct-000004,Successful,TRUE,TRUE,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,"On Zayo Network
",39.745214,-104.996223,Telecommunications,3038623.497,1805872.285
Opp-000083,Acct-000019,Potential,FALSE,FALSE,7/9/16,60,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,"On Zayo Network
",32.800805,-96.819612,Telecommunications,19979.85064,46872510.76
Opp-000084,Acct-001046,Potential,FALSE,FALSE,7/9/16,36,,New Service,Wavelengths - Long Haul,Bldg-090300,Dallas,3010 Waterview Pkwy,Richardson,TX,75080,436.62,"On Zayo Network
",32.994824,-96.752465,Finance,20633.14296,0
Opp-000085,Acct-000955,Potential,FALSE,FALSE,7/11/16,36,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,"On Zayo Network
",39.74556,-104.995682,Telecommunications,21376.8927,81884.48882
Opp-000086,Acct-000043,Failed,TRUE,FALSE,7/11/16,36,,New Service,Wavelengths - Long Haul,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,"On Zayo Network
",34.0354213,-84.0608807,IT Infrastructure,74161.08844,12827553.08
Opp-000087,Acct-000820,Failed,TRUE,FALSE,7/11/16,36,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,"On Zayo Network
",39.5643596,-104.8665482,Healthcare,52362.02116,480046.6115
